Entidad,Vehi­culos en circulacion,Vehi­culos asegurados,% de Vehiculos asegurados
Nuevo Leon,2132849,1373818,64.41234236
Queretaro,681604,363033,53.26157123
Ciudad de Mexico,5453284,2819549,51.70368901
Coahuila,848988,369693,43.54513845
Yucatan,773515,314715,40.68634739
Puebla,1460281,590397,40.43036922
Aguascalientes,575192,232350,40.39520717
Chihuahua,1503599,569396,37.86887328
Jalisco,3508943,1182242,33.69225433
Morelos,743029,243760,32.80625655
Baja California,1629988,519470,31.86955978
Sinaloa,1131688,353251,31.21452202
Colima,321129,90900,28.30638155
Quintana Roo,766662,216043,28.17969327
Tamaulipas,1120691,308528,27.53015773
Durango,598324,164133,27.43212707
Guanajuato,1918513,520880,27.15019393
Hidalgo,649572,173310,26.6806451
Sonora,1238806,328549,26.52142466
Veracruz,1938169,484804,25.01350501
Tabasco,583105,139303,23.88986546
Baja California Sur,479969,113230,23.59110693
Campeche,305970,67594,22.09170834
San Luis Potosi,1123923,237665,21.14602157
Nayarit,422080,87841,20.81145754
Oaxaca,625401,129011,20.62852474
Zacatecas,439799,89596,20.37203359
Estado de Mexico,6902222,1239129,17.95261004
Chiapas,837999,147822,17.63987785
Michoacan,2472113,272517,11.02364657
Tlaxcala,623448,58211,9.336945503
Guerrero,1111847,78979,7.103405415
