Entidad mapa,Frecuencia anterior,Frecuencia,Semaforo
Quintana Roo,9.262132678,9.92552084,2.950783492
Sinaloa,9.59825258,9.422896153,2.448158805
Nuevo Leon,9.761863437,9.419256006,2.444518657
Distrito Federal,9.421682987,9.240851098,2.266113749
Estado de Mexico,7.837612506,8.102155186,1.127417838
Jalisco,6.620744823,8.034673801,1.059936453
Chihuahua,7.65945619,7.587502844,0.612765496
Tabasco,6.713099256,7.567343462,0.592606113
Yucatan,7.263548661,7.53869186,0.563954511
Puebla,6.864849353,7.106516598,0.131779249
Queretaro,7.039321841,7.052897545,0.078160197
Veracruz,6.432163268,6.64857714,-0.326160208
San Luis Potosi,6.256100652,6.520981192,-0.453756156
Campeche,5.810084464,6.015307359,-0.959429989
Tamaulipas,5.843219887,5.950951531,-1.023785817
Sonora,6.113938517,5.91979998,-1.054937369
Nayarit,4.614692201,5.599237883,-1.375499466
Guerrero,5.432486783,5.550558782,-1.424178566
Guanajuato,4.746654732,5.352090592,-1.622646757
Hidalgo,4.85324527,5.281171096,-1.693566253
Baja California,4.924855287,5.081571856,-1.893165493
Morelos,5.619451952,4.959290546,-2.015446802
Colima,4.363460062,4.909614855,-2.065122494
Aguascalientes,3.648225357,4.812360839,-2.162376509
Durango,4.869528591,4.651367309,-2.32337004
Tlaxcala,3.865987252,4.132576761,-2.842160588
Chiapas,3.94873503,4.126765739,-2.84797161
Michoacan,3.812247212,4.08930814,-2.885429209
Oaxaca,3.844072285,4.059035455,-2.915701893
Baja California Sur,2.750207919,3.104903385,-3.869833964
Coahuila,5.734671235,2.483643752,-4.491093597
Zacatecas,2.067930616,2.277415422,-4.697321926
,,,
