Entidad Mapa,Frecuencia Accidentes
Quintana Roo,9.9255208
Sinaloa,9.4228962
Nuevo Leon,9.419256
Distrito Federal,9.2408511
Estado de Mexico,8.1021552
Jalisco,8.0346738
Chihuahua,7.5875028
Tabasco,7.5673435
Yucatan,7.5386919
Puebla,7.1065166
Queretaro,7.0528975
Veracruz,6.6485771
San Luis Potosi,6.5209812
Campeche,6.0153074
Tamaulipas,5.9509515
Sonora,5.9198
Nayarit,5.5992379
Guerrero,5.5505588
Guanajuato,5.3520906
Hidalgo,5.2811711
Baja California,5.0815719
Morelos,4.9592905
Colima,4.9096149
Aguascalientes,4.8123608
Durango,4.6513673
Tlaxcala,4.1325768
Chiapas,4.1267657
Michoacan,4.0893081
Oaxaca,4.0590355
Baja California Sur,3.1049034
Coahuila,2.4836438
Zacatecas,2.2774154
