Entidad ,Costo Medio
CIUDAD DE MEXICO,30949.27366
QUINTANA ROO,30718.1018
TABASCO,30358.20666
BAJA CALIFORNIA SUR,28542.28132
QUERETARO,28255.22174
CAMPECHE,27361.24451
BAJA CALIFORNIA,25786.38487
SAN LUIS POTOSI,25179.43914
NUEVO LEON,24693.42261
MICHOACAN,24687.38513
PUEBLA,24521.15579
COAHUILA,23829.07148
COLIMA,23749.168
TAMAULIPAS,23347.8906
CHIHUAHUA,23316.64183
JALISCO,22559.0911
VERACRUZ,22000.81493
MORELOS,21981.48711
AGUASCALIENTES,21663.17873
NAYARIT,21388.39059
GUANAJUATO,21359.92662
SINALOA,21293.63546
DURANGO,20651.98927
DISTRITO FEDERAL,17506.65055
CHIAPAS,16932.69186
SONORA,16799.77819
HIDALGO,16659.9133
GUERRERO,16588.9755
OAXACA,16555.41494
TLAXCALA,16521.75759
YUCATAN,16279.98626
ZACATECAS,14372.65064
