ENTIDAD,"PÓLIZAS
O
CERTIFICADOS","PRIMA
EMITIDA DIRECTA"
AGUASCALIENTES,258525,308681712.3
BAJA CALIFORNIA NORTE,450592,306716135.3
BAJA CALIFORNIA SUR,112625,135239657.4
CAMPECHE,126200,143411680.5
COAHUILA,917936,598799201.2
COLIMA,151411,86173848.06
CHIAPAS,487806,344181029.3
CHIHUAHUA,771388,574632273.4
DISTRITO FEDERAL,19342124,27251068818
DURANGO,234786,394480340.9
GUANAJUATO,732400,602891599.6
GUERRERO,237291,351043101.4
HIDALGO,435004,245683522
JALISCO,1772997,1555070435
MEXICO,2148466,2324378939
MICHOACAN,545958,537048105.8
MORELOS,269164,250851069.8
NAYARIT,178902,129708619.9
NUEVO LEON,3456976,4511922118
OAXACA,244839,180531063
PUEBLA,603698,660466067.9
QUERETARO,725672,448205910.4
QUINTANA ROO,259184,259904249.5
SAN LUIS POTOSI,429042,336146017.6
SINALOA,468098,426900758.3
SONORA,465945,500593200
TABASCO,282036,324859752.5
TAMAULIPAS,494879,415315982.6
TLAXCALA,134680,126812794.2
VERACRUZ,901192,1323388976
YUCATAN,322517,389688235.2
ZACATECAS,138825,128205914.9
