ENTIDAD,"PÓLIZAS
O
CERTIFICADOS","PRIMA
EMITIDA DIRECTA"
AGUASCALIENTES,104749,2217469998
BAJA CALIFORNIA NORTE,304987,3577219444
BAJA CALIFORNIA SUR,146831,1279451829
CAMPECHE,76313,909490573.5
COAHUILA,353748,5003207882
COLIMA,55962,662165610.4
CHIAPAS,209769,2681752918
CHIHUAHUA,403050,4286305858
DISTRITO FEDERAL,1747142,45849949920
DURANGO,184697,1894836013
GUANAJUATO,409209,8243600760
GUERRERO,169806,1739446091
HIDALGO,153450,2470043030
JALISCO,606043,16582183326
MEXICO,1036424,18511937471
MICHOACAN,305985,4758787250
MORELOS,137146,2562157953
NAYARIT,132269,2046460981
NUEVO LEON,484577,12484539278
OAXACA,216339,1898134801
PUEBLA,272002,5215738364
QUERETARO,195890,2990709962
QUINTANA ROO,124343,2013959377
SAN LUIS POTOSI,275113,2898484694
SINALOA,428771,5563162004
SONORA,430082,4616775035
TABASCO,277804,1902486957
TAMAULIPAS,358602,3739446213
TLAXCALA,63383,590099614.7
VERACRUZ,583728,6053308047
YUCATAN,144205,2962855700
ZACATECAS,163639,1115063283
