Entidad,Costo Medio
Extranjero,76514.97883
Zacatecas,21246.72504
Durango,18232.74606
Tlaxcala,18221.48241
Nayarit,18056.4381
Guerrero,17700.09075
Oaxaca,17003.9322
Hidalgo,16716.19144
Michoacan,16524.83944
Chiapas,16363.98823
Sonora,15949.67667
Baja California Sur,15761.15749
Veracruz,15694.68508
Quintana Roo,15359.10784
Campeche,15218.89848
Tamaulipas,15008.1487
San Luis Potosi,14958.90623
Coahuila,14922.37457
Guanajuato,14825.41385
Colima,14799.05222
Sinaloa,14792.89919
Puebla,14506.1247
Yucatan,14160.99988
Tabasco,14061.82397
Queretaro,13791.8668
Nuevo Leon,13252.03308
Jalisco,13070.1691
Aguascalientes,12501.00793
Chihuahua,12494.01821
Morelos,12426.75401
Baja California,12304.28497
Estado de Mexico,11822.57732
Distrito Federal,10917.40952
