Entidad,Porcentaje de vehiculos robados que no contaban con seguro
Zacatecas,86.6894198
Baja California Sur,86.47342995
Baja California,86.25223294
Quintana Roo,84.7826087
Colima,82.61562998
Oaxaca,79.61947759
Campeche,78.78787879
Aguascalientes,77.62557078
Chihuahua,75.37079591
Sonora,75.03311258
Durango,74.217119
Hidalgo,73.60882836
Tamaulipas,72.39444937
San Luis Potosi,72.14477867
Chiapas,68.07692308
Queretaro,67.75700935
Guerrero,63.44615385
Nayarit,61.16504854
Michoacan,60.47442126
Morelos,58.56925419
Puebla,57.23453474
Tlaxcala,56.30630631
Veracruz,55.48387097
Estado de Mexico,51.03130562
Tabasco,46.31603885
Jalisco,36.54725418
Sinaloa,35.26687789
Yucatan,30.35714286
Distrito Federal,26.03289829
Coahuila,24.82853224
Guanajuato,6.491803279
Nuevo Leon,77.32876712
