CAUSA ,0-20,21-40,41-60,61-80,81-100,TOTAL
ENF INFECCIOSAS Y PARASITARIAS,60,2166,4175,4234,812,11447
SIDA,6,311,270,54,2,643
OTRAS ENF INFECCIOSAS Y PARASITARIAS,54,1855,3905,4180,810,10804
TUMORES (NEOPLASIAS),65,4586,9548,9375,1005,24579
"ENF DE LAS GLANDULAS ENDOCRINAS, DE  LA NUTRICION Y DEL METABOLISMO",21,3833,5899,7727,953,18433
DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS,7,198,343,250,35,833
TRASTORNOS MENTALES,0,27,113,72,29,241
ALCOHOLISMO,0,8,9,14,0,31
OTRAS CAUSAS,0,19,104,58,29,210
ENF DEL SISTEMA NERVIOSO Y ORGANOS DE LOS SENTIDOS,17,547,947,787,128,2426
ENF DEL APARATO CIRCULATORIO,129,7300,16293,20571,4856,49149
ENF DEL APARATO RESPIRATORIO,74,2899,5542,7069,2090,17674
ENF DEL APARATO DIGESTIVO,23,2038,4364,3995,425,10845
ENF DEL APARATO GENITO-URINARIO,33,1994,4547,5193,715,12482
"ENF DEL EMBARAZO, DEL PARTO Y DEL PUERPERIO",8,175,803,1847,241,3074
ENF DE LA PIEL Y TEJIDO CELULAR SUBCUTANEO,0,54,113,75,15,257
ENF DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO,3,114,230,164,25,536
ANOMALIAS CONGENITAS,3,58,71,39,4,175
CIERTAS CAUSAS DE LA MORBILIDAD Y DE LA MORTALIDAD PERINATALES,22,52,114,57,9,254
SINTOMAS Y ESTADOS MORBOSOS MALDEFINIDOS,52,2209,4164,5043,717,12185
"ACCIDENTES, ENVENENAMIENTOS Y VIOLENTOS",140,4264,2568,647,27,7646
ACCIDENTES DE TRANSITO,19,653,340,91,2,1105
ENVENENAMIENTOS,0,9,3,2,0,14
PROVOCADAS POR ACTOS DE VIOLENCIA,52,1255,892,215,6,2420
SUICIDIO,3,98,61,16,1,179
"OTROS ACCIDENTES, ENVENENAMIENTO Y VIOLENTOS",66,2249,1272,323,18,3928
HOMICIDIOS,142,4460,3556,1492,119,9769
CAUSAS INDETERMINADAS DE DEFUNCION,89,3727,5034,2729,115,11694
TOTAL DE SINIESTROS,888,40701,68424,71366,12320,193699
