ENTIDAD,MUERTE,SOBREVIVENCIA,"MUERTE
ACCIDENTAL**",INVALIDEZ,TOTAL
AGUASCALIENTES,84967136450,0,23380135931,49040483276,1.57388E+11
BAJA CALIFORNIA NORTE,1.61953E+11,3794123,62249175588,70794316177,2.95001E+11
BAJA CALIFORNIA SUR,32857042946,43244,12029116941,17143134045,62029337176
CAMPECHE,30945570396,11369,8472688080,11222685172,50640955016
COAHUILA,2.19867E+11,376776,1.84796E+11,1.02398E+11,5.07061E+11
COLIMA,20052723951,54389,3981604319,5942214762,29976597421
CHIAPAS,87414742299,604164,18427932847,32277166277,1.3812E+11
CHIHUAHUA,2.14483E+11,618137,2.24808E+11,1.37868E+11,5.77159E+11
DISTRITO FEDERAL,1.58954E+13,357326098,4.01574E+12,3.62687E+12,2.35384E+13
DURANGO,62242202366,0,17604685098,21286578028,1.01133E+11
GUANAJUATO,1.61014E+11,2086914,89970297899,96587016703,3.47573E+11
GUERRERO,30957464193,51193,15393599960,9572480386,55923595732
HIDALGO,64592127746,0,22782328532,26291250633,1.13666E+11
JALISCO,3.41775E+11,2816559,1.70312E+11,1.81705E+11,6.93794E+11
MEXICO,3.95177E+11,50348059,1.58822E+11,2.13044E+11,7.67093E+11
MICHOACAN,79140813819,756227,19899665670,29307433615,1.28349E+11
MORELOS,56943615565,8512006,26489883282,26979355499,1.10421E+11
NAYARIT,27346230290,0,6026821620,10144052747,43517104657
NUEVO LEON,1.32594E+12,86969433,4.15932E+11,1.04976E+12,2.79171E+12
OAXACA,36987449710,212589,13666968220,15871733655,66526364173
PUEBLA,1.43993E+11,571628,69274667431,73384555464,2.86653E+11
QUERETARO,1.42514E+11,2535010,77732037174,82961403120,3.0321E+11
QUINTANA ROO,62146996379,1249672,26440455049,32059965808,1.20649E+11
SAN LUIS POTOSI,83079755964,40404,30895725221,44144422221,1.5812E+11
SINALOA,77355939110,3087552,35378339346,32671687643,1.45409E+11
SONORA,1.01588E+11,1550189,53103610867,52164689496,2.06858E+11
TABASCO,52801786234,0,22572145249,15541303650,90915235133
TAMAULIPAS,96045136608,400885,38705516798,39603803900,1.74355E+11
TLAXCALA,35266997508,0,14965875121,16323188518,66556061147
VERACRUZ,2.89047E+11,1482110,1.73989E+11,1.83427E+11,6.46465E+11
YUCATAN,70966500730,9139718,18627493512,43588222897,1.33191E+11
ZACATECAS,26973427376,0,14658264918,14878862540,56510554834
