ENTIDAD ,MUERTE,SOBREVIVENCIA,"MUERTE
ACCIDENTAL*",INVALIDEZ,TOTAL
AGUASCALIENTES,42499358600,3132478422,30702053497,20364582012,96698472531
BAJA CALIFORNIA NORTE,1.17446E+11,9458585496,66507790079,54289629218,2.47702E+11
BAJA CALIFORNIA SUR,37081568167,1095788279,19294765970,13511702896,70983825312
CAMPECHE,27669076252,1496730828,19653949464,13455318178,62275074722
COAHUILA,1.25808E+11,9739390802,96825803520,54788364442,2.87162E+11
COLIMA,21796734553,1549786321,13698996942,9141787619,46187305436
CHIAPAS,74572445170,3398239353,66520343151,36476019384,1.80967E+11
CHIHUAHUA,1.27136E+11,9675013467,80527839119,49622527548,2.66961E+11
DISTRITO FEDERAL,9.88197E+11,97833207812,4.61448E+11,3.46488E+11,1.89397E+12
DURANGO,51614365607,2443129212,34660866792,21716336748,1.10435E+11
GUANAJUATO,1.53897E+11,14267569321,1.04683E+11,78243924856,3.51091E+11
GUERRERO,52805439150,2506701311,31753315779,21084720315,1.0815E+11
HIDALGO,56091131385,2514230632,40279855404,23960982701,1.22846E+11
JALISCO,3.15657E+11,37197037809,2.11316E+11,1.452E+11,7.0937E+11
MEXICO,4.54619E+11,39953725863,2.59906E+11,1.79267E+11,9.33746E+11
MICHOACAN,94520385778,6726799682,64398360193,35387773600,2.01033E+11
MORELOS,47483250833,3594093399,33662925010,21895047343,1.06635E+11
NAYARIT,39125869536,2236570300,23490830867,13247790958,78101061661
NUEVO LEON,3.23492E+11,28853097299,1.94372E+11,1.52214E+11,6.98931E+11
OAXACA,58257252458,3392673301,53923288158,30035553367,1.45609E+11
PUEBLA,1.14684E+11,11434407188,75876802651,49283832761,2.51279E+11
QUERETARO,80931430501,8814262454,53690958569,38228070235,1.81665E+11
QUINTANA ROO,54686281805,4127991650,34515229958,26154658307,1.19484E+11
SAN LUIS POTOSI,80401385857,5062542267,56540193703,40352259684,1.82356E+11
SINALOA,1.24206E+11,13401972408,69211264659,54310378181,2.6113E+11
SONORA,1.24085E+11,9561169477,67275139389,53439532988,2.54361E+11
TABASCO,71187650568,4628380483,43678841231,29808554439,1.49303E+11
TAMAULIPAS,1.21475E+11,9084539312,88700812844,52858510624,2.72119E+11
TLAXCALA,19271444559,855371108,15120704829,9178371204,44425891700
VERACRUZ,1.59267E+11,8199849291,92243360160,58505979800,3.18217E+11
YUCATAN,58491167945,8554132079,41527270123,32447398025,1.4102E+11
ZACATECAS,36959968316,1160122224,27840505347,15082125239,81042721126
