fecha,Robados,Recuperados,Promedio diario de autos robados,Promedio diario de autos recuperados
01/01/2018,7901,2947,255,95
01/02/2018,7199,2734,257,98
01/03/2018,7596,3039,245,98
01/04/2018,7414,3053,247,102
01/05/2018,8003,3210,258,104
01/06/2018,7660,2933,255,98
01/07/2018,8220,3171,265,102
01/08/2018,8287,3312,267,107
01/09/2018,7583,2962,253,99
01/10/2018,8576,3271,277,106
01/11/2018,8368,2953,279,98
01/12/2018,7715,2604,249,84
01/01/2019,7956,3079,257,99
01/02/2019,6812,3048,243,109
01/03/2019,7729,3125,249,101
01/04/2019,7019,3032,234,101
01/05/2019,7769,3331,251,107
01/06/2019,6972,3175,232,106
01/07/2019,7226,3378,233,109
01/08/2019,7165,3398,231,110
01/09/2019,6758,3107,225,104
01/10/2019,7322,3271,236,106
01/11/2019,7150,2970,238,99
01/12/2019,6936,2891,224,93
01/01/2020,6719,3069,217,99
01/02/2020,6409,2821,221,97
01/03/2020,6738,2717,217,88
01/04/2020,5353,2375,178,79
01/05/2020,5528,2349,178,76
01/06/2020,5674,2598,189,87
01/07/2020,6009,2702,194,87
01/08/2020,5600,2489,181,80
01/09/2020,5530,2583,184,86
01/10/2020,5751,2718,186,88
01/11/2020,5411,2536,180,85
01/12/2020,5176,2361,167,76
